date;country;risk;title;fake;supChainName;location;typeOfTransport
04.03.2022;Poland;Political Instability;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Poland;truck
04.03.2022;Poland;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Poland;truck
04.03.2022;Baltic states;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;Baltic states;Political Instability;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;Baltic states;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;Germany;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Germany;truck
04.03.2022;Germany;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Germany;truck
04.03.2022;Germany;Regulatory changes;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Germany;truck
04.03.2022;Germany;Stock market volatility;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Germany;truck
04.03.2022;UK;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;UK;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;UK;Regulatory changes;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;UK;Inflation;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;UK;Stock market volatility;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;Europe;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;Europe;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;Europe;Inflation;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;Europe;Stock market volatility;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;US;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;US;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;US;Inflation;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;US;Stock market volatility;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;Turkey;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Battery;Turkey;ship
04.03.2022;Turkey;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Battery;Turkey;ship
04.03.2022;Turkey;Inflation;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Battery;Turkey;ship
04.03.2022;North Africa;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;North Africa;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
04.03.2022;North Africa;Inflation;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;;;
05.03.2022;Russia;Trade Tensions;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Battery;Russia;train
05.03.2022;Russia;Political Instability;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Battery;Russia;train
05.03.2022;Russia;Economic Sanctions;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Battery;Russia;train
05.03.2022;Russia;Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Battery;Russia;train
05.03.2022;Russia;regulatory changes;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Battery;Russia;train
05.03.2022;UK;Economic Sanctions;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;UK;regulatory changes;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;EU;Economic Sanctions;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;EU;regulatory changes;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;EU;Political Instability;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;US;Economic Sanctions;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;US;regulatory changes;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;Uzbekistan;Economic Sanctions;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;Ukraine;Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Solarpanels;Ukraine;ship
05.03.2022;Ukraine;natural disasters;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Solarpanels;Ukraine;ship
05.03.2022;Germany;Trade Tensions;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Solarpanels;Germany;truck
05.03.2022;Germany;Political Instability;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Solarpanels;Germany;truck
05.03.2022;Poland;Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;Bosch Solarpanels;Poland;truck
05.03.2022;Baltic States (Lithuania, Latvia, Estonia);Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;Sweden;Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;Hungary;Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;Czech Republic;Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;Syria;Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;Finland;Conflicts;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
05.03.2022;China;Trade Tensions;['Russia oligarchs: The mega-rich men facing global sanctions', 'European peace seems as fragile as ever', 'War in Ukraine: Russian helicopter shot down by missile', 'From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower'];No;;;
06.03.2022;Ukraine;Trade Tensions;"[""Ukraine: 'We try to tell them the truth'-parenting in wartime"", 'The young Ukrainians battling pro-Russian trolls', ""BBC Ukrainian editor: 'My mother called to say she'd managed to buy bread'"", 'War in Ukraine: Russian invasion fuels Finnish support for Nato', 'Ukraine crisis: The West fights back against Putin the disruptor', 'Mariupol: Fires, no water, and bodies in the street', 'Ukraine maps: New agreed ceasefire breaks down in south', 'Ukraine invasion: Military couple marry on the front line', 'Ukraine invasion: Military couple marry on the frontline', 'Russian gymnast investigated for wearing pro-war symbol', 'Russian gymnast Ivan Kuliak investigated for wearing pro-war symbol on podium next to Ukrainian', 'Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian', 'Ukraine conflict: Your guide to understanding day 11', 'War in Ukraine: Taking cover in a town under attack', 'Protests across Russia see thousands detained', 'Ukraine: With placards and tears, Poles are greeting refugees like family']";No;Bosch Solarpanels;Ukraine;ship
06.03.2022;Ukraine;Political Instability;"[""Ukraine: 'We try to tell them the truth'-parenting in wartime"", 'The young Ukrainians battling pro-Russian trolls', ""BBC Ukrainian editor: 'My mother called to say she'd managed to buy bread'"", 'War in Ukraine: Russian invasion fuels Finnish support for Nato', 'Ukraine crisis: The West fights back against Putin the disruptor', 'Mariupol: Fires, no water, and bodies in the street', 'Ukraine maps: New agreed ceasefire breaks down in south', 'Ukraine invasion: Military couple marry on the front line', 'Ukraine invasion: Military couple marry on the frontline', 'Russian gymnast investigated for wearing pro-war symbol', 'Russian gymnast Ivan Kuliak investigated for wearing pro-war symbol on podium next to Ukrainian', 'Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian', 'Ukraine conflict: Your guide to understanding day 11', 'War in Ukraine: Taking cover in a town under attack', 'Protests across Russia see thousands detained', 'Ukraine: With placards and tears, Poles are greeting refugees like family']";No;Bosch Solarpanels;Ukraine;ship
06.03.2022;Ukraine;Natural disasters;"[""Ukraine: 'We try to tell them the truth'-parenting in wartime"", 'The young Ukrainians battling pro-Russian trolls', ""BBC Ukrainian editor: 'My mother called to say she'd managed to buy bread'"", 'War in Ukraine: Russian invasion fuels Finnish support for Nato', 'Ukraine crisis: The West fights back against Putin the disruptor', 'Mariupol: Fires, no water, and bodies in the street', 'Ukraine maps: New agreed ceasefire breaks down in south', 'Ukraine invasion: Military couple marry on the front line', 'Ukraine invasion: Military couple marry on the frontline', 'Russian gymnast investigated for wearing pro-war symbol', 'Russian gymnast Ivan Kuliak investigated for wearing pro-war symbol on podium next to Ukrainian', 'Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian', 'Ukraine conflict: Your guide to understanding day 11', 'War in Ukraine: Taking cover in a town under attack', 'Protests across Russia see thousands detained', 'Ukraine: With placards and tears, Poles are greeting refugees like family']";No;Bosch Solarpanels;Ukraine;ship
06.03.2022;Ukraine;Conflicts;"[""Ukraine: 'We try to tell them the truth'-parenting in wartime"", 'The young Ukrainians battling pro-Russian trolls', ""BBC Ukrainian editor: 'My mother called to say she'd managed to buy bread'"", 'War in Ukraine: Russian invasion fuels Finnish support for Nato', 'Ukraine crisis: The West fights back against Putin the disruptor', 'Mariupol: Fires, no water, and bodies in the street', 'Ukraine maps: New agreed ceasefire breaks down in south', 'Ukraine invasion: Military couple marry on the front line', 'Ukraine invasion: Military couple marry on the frontline', 'Russian gymnast investigated for wearing pro-war symbol', 'Russian gymnast Ivan Kuliak investigated for wearing pro-war symbol on podium next to Ukrainian', 'Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian', 'Ukraine conflict: Your guide to understanding day 11', 'War in Ukraine: Taking cover in a town under attack', 'Protests across Russia see thousands detained', 'Ukraine: With placards and tears, Poles are greeting refugees like family']";No;Bosch Solarpanels;Ukraine;ship
06.03.2022;Russia;Trade Tensions;"[""Ukraine: 'We try to tell them the truth'-parenting in wartime"", 'The young Ukrainians battling pro-Russian trolls', ""BBC Ukrainian editor: 'My mother called to say she'd managed to buy bread'"", 'War in Ukraine: Russian invasion fuels Finnish support for Nato', 'Ukraine crisis: The West fights back against Putin the disruptor', 'Mariupol: Fires, no water, and bodies in the street', 'Ukraine maps: New agreed ceasefire breaks down in south', 'Ukraine invasion: Military couple marry on the front line', 'Ukraine invasion: Military couple marry on the frontline', 'Russian gymnast investigated for wearing pro-war symbol', 'Russian gymnast Ivan Kuliak investigated for wearing pro-war symbol on podium next to Ukrainian', 'Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian', 'Ukraine conflict: Your guide to understanding day 11', 'War in Ukraine: Taking cover in a town under attack', 'Protests across Russia see thousands detained', 'Ukraine: With placards and tears, Poles are greeting refugees like family']";No;Bosch Battery;Russia;train
06.03.2022;Russia;Political Instability;"[""Ukraine: 'We try to tell them the truth'-parenting in wartime"", 'The young Ukrainians battling pro-Russian trolls', ""BBC Ukrainian editor: 'My mother called to say she'd managed to buy bread'"", 'War in Ukraine: Russian invasion fuels Finnish support for Nato', 'Ukraine crisis: The West fights back against Putin the disruptor', 'Mariupol: Fires, no water, and bodies in the street', 'Ukraine maps: New agreed ceasefire breaks down in south', 'Ukraine invasion: Military couple marry on the front line', 'Ukraine invasion: Military couple marry on the frontline', 'Russian gymnast investigated for wearing pro-war symbol', 'Russian gymnast Ivan Kuliak investigated for wearing pro-war symbol on podium next to Ukrainian', 'Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian', 'Ukraine conflict: Your guide to understanding day 11', 'War in Ukraine: Taking cover in a town under attack', 'Protests across Russia see thousands detained', 'Ukraine: With placards and tears, Poles are greeting refugees like family']";No;Bosch Battery;Russia;train
